title,location,description,url
Byrd Glacier,Antarctica,"Just as rivers drain the continents, rivers also drain Antarctica—only in this frozen landscape, the rivers are ice. In some places, steep mountains channel the flowing ice sheets and compress them into fast-moving rivers of ice. The Byrd Glacier is one such place. Byrd Glacier flows through a deep valley in the Transantarctic Mountains, covering a distance of 180 kilometers and descending more than 1,300 meters as it flows from the polar plateau (left) to the Ross Ice Shelf (right). The fast-moving stream is one of the largest contributors to the shelf’s total ice volume. In this Landsat 7 image from 2000, long, sweeping flow lines are crossed in places by much shorter lines, which are deep cracks in the ice called crevasses. The conspicuous red patches indicate areas of exposed rock. Byrd Glacier is located near the principal U.S. Antarctic Research Base at McMurdo Station, and it is named after the American Antarctic explorer Richard E. Byrd.",2018_earth_as_art-nasa/OEBPS/image/byrd_glacier.jpg
Cape Farewell,New Zealand,"Cape Farewell and Farewell Spit were named by British explorer Captain James Cook, who said “farewell” to the land when he left New Zealand in 1770—it was the last of the islands his crew saw as they departed for Australia on the ship’s homeward voyage. Its Maori name, Onetahua, means “heaped up sand.” Farewell Spit is located at the northwesternmost point of the South Island of New Zealand, and the spit stretches east from Cape Farewell for over 30 kilometers. The Tasman Sea is to the north and west. The spit’s north side is built of sand dunes, and the southern side facing Golden Bay is largely covered with vegetation. The spit is administered as a sea bird and wildlife reserve with limited public access. The tide here can recede as much as 7 kilometers, exposing some 80 square kilometers of mudflats, a rich feeding ground for the many sea birds in the area. Terra acquired this image in 2001.",2018_earth_as_art-nasa/OEBPS/image/farewell_ast_2001044_lrg.jpg
Carbonate Sand Dunes,Atlantic Ocean,"In this 2002 Terra image, calcium carbonate sand dunes are apparent in the shallow waters of Tarpum Bay, southwest of Eleuthera Island in the Bahamas. The sand making up the dunes comes from the erosion of limestone coral reefs, shaped into dunes by ocean currents.  Eleuthera Island is one of the larger “out” islands of the Bahamas. The island itself consists mainly of low, rounded limestone hills, and the highest elevation of the island is about 60 meters. It has a rough, karst topography with caves, sinkholes, and cenotes. The island is surrounded by coral reefs and pink sand beaches.",2018_earth_as_art-nasa/OEBPS/image/bahamas.jpg
Carnegie Lake,Australia,"Ephemeral Carnegie Lake, in Western Australia, fills with water only during periods of significant rainfall. In dry years, it is reduced to a muddy marsh. When full, it can cover an area of about 6 square kilometers. In this Landsat 7 image from 1999, flooded areas appear dark blue or black. Vegetation appears in shades of dark and light green, and sands, soils, and minerals appear in a variety of colors.",2018_earth_as_art-nasa/OEBPS/image/carnegie2.jpg
Dardzha Peninsula,Turkmenistan,"Jutting into the Caspian Sea, the Dardzha Peninsula in western Turkmenistan lies among the shallow, coastal terraces in the sea’s southeast portion. Strong winds create huge sand dunes near the water, some of which are partly submerged. Farther inland, the dunes transition into the low sand plains of the Karakum Desert, which covers 70 percent of the country. Landsat 7 captured this image in 2001.",2018_earth_as_art-nasa/OEBPS/image/the_dardzha_m.jpg
Dasht-e Kavir,Iran,"The Dasht-e Kavir, or Great Salt Desert, is the larger of Iran’s two major deserts, which occupy most of the country’s central plateau. Located in north-central Iran, the mostly uninhabited desert is about 800 kilometers long and 320 kilometers wide. Once situated beneath an ancient inland sea, the arid region is now covered with salt deposits and is known for its salt marshes (kavirs), which can act like quicksand. From wild sheep and leopards to gazelles and lizards, there is a range of wildlife in the mountainous areas and parts of the steppe and desert areas of the central plateau. This 2000 Landsat 7 image shows the intricately folded sediments and colorful formations that now blanket the surface of this barren landscape.",2018_earth_as_art-nasa/OEBPS/image/dasht_e_kev.jpg
Desolation Canyon,United States,"Nearly as deep as the Grand Canyon, Desolation Canyon is one of the largest unprotected wilderness areas in the American West. In this Landsat 7 image from 2000, the Green River in Utah flows south across the Tavaputs Plateau (top) before entering the canyon (center).  Desolation Canyon has a rich history. Geologist and explorer John Wesley Powell named the canyon. During two river expeditions in 1869 and 1871, Powell’s team mapped the Green River for the first time before heading down the Colorado River to the Grand Canyon. People of the Fremont culture inhabited the canyon and the plateau from about 200 to 1300 C.E. The present-day Ute Tribe owns the land along the east side of the river. Fremont and Ute pictographs and petroglyphs are abundant in Desolation and its numerous tributary canyons. The U.S. declared Desolation Canyon a National Historic Landmark in 1968.",2018_earth_as_art-nasa/OEBPS/image/desolat_cany.jpg
East African Rift,Kenya,"The East African Rift is a classic example of rifting, an area where tectonic plates move apart from each other. Rifts often form stunning geological features. The East African Rift is characterized by deep valleys in the rift zone, sheer escarpments along the faulted walls of the rift zone, a chain of lakes within the rift, volcanic rocks that have flowed from faults along the sides of the rift, and volcanic cones where magma flow was most intense. This Terra image from 2002 includes most of these features near Lake Begoria in Kenya.  This rift is a narrow zone in which the African Plate is in the process of splitting into two new tectonic plates called the Somali Plate and the Nubian Plate. Most of the lakes in this rift are highly saline due to evaporation in the hot temperatures characteristic of climates near the equator. The East African Rift runs from the Afar Triple Junction southward through eastern Africa and has been a rich source of fossils that allow for the study of human evolution.",2018_earth_as_art-nasa/OEBPS/image/eastafricanrift.jpg
Edrengiyn Nuruu,Mongolia,"Edrengiyn Nuruu is a mountainous region located in southwest Mongolia. The area has an average elevation of over 1,540 meters above sea level and forms a transitional boundary between the Mongolian steppes to the north and the arid deserts of China to the south. The area’s climate is classified as a midlatitude desert with a boreal wet forest biozone, and the foothills serve as one of just four known habitats of the wild camel. Landsat 7 acquired this image in 1999.",2018_earth_as_art-nasa/OEBPS/image/edren_nuruu.jpg
Erg Chech,Algeria,"In this Landsat 7 image from 2003, the amber and caramel lattices seen are large, linear sand dunes in the Erg Chech dune sea located in the Sahara region of western Algeria. An erg, meaning dune field in Arabic, is a wide, flat area of desert covered with wind-blown sand and little vegetation cover. The dunes are formed when large amounts of transported sand are halted by topographic barriers. The largest dunes can take up to a million years to build. Ergs are also found on other celestial bodies such as Venus, Mars, and Saturn’s moon Titan.",2018_earth_as_art-nasa/OEBPS/image/desert_patter.jpg
Erg Iguidi,Algeria and Mauritania,"Ridges of wind-blown sand flow across Erg Iguidi, a Saharan sand sea. Erg Iguidi is one of several Saharan ergs and extends from Algeria into Mauritania in northwestern Africa. The dunes (in yellow) are about 250 meters wide, rising high above the sand sea. Winds blow from the northwest to the southeast, often under the influence of oceanic monsoons. In this 1985 Landsat 5 image, dunes in the center and upper left lie atop black sandstone rock while the light blue and white areas are edges of the chalk plateaus in the region.",2018_earth_as_art-nasa/OEBPS/image/algerian_abst.jpg
Erongo Massif,Namibia,"The dark heart in this Landsat 7 image from 2003 is the Erongo Massif, a prominent, sheer-walled semicircular mountain 30 kilometers in diameter. The massif rises 1,200 meters above the Namib Desert to the west and a mixed woodland savannah to the east. The mountain is an eroded relic of a volcano that was active some 140 to 150 million years ago but collapsed upon itself with the weight of the overlying magma. Eons of erosion by wind and wind-blown sand gradually exposed the long-dead volcano’s core of granite and basalt. Minerals have been collected in the Erongo region for nearly 90 years, including some of the finest aquamarine, schorl, and jeremejevite. The area has a confluence of ecosystems that are home to a vast array of plant, reptile, mammal, and bird species, some endemic to Namibia.",2018_earth_as_art-nasa/OEBPS/image/erongo_massif.jpg
Garden City,United States,"Garden City, Kansas, has a semi-arid steppe climate with hot, dry summers and cold, dry winters. Center-pivot irrigation systems created the circular patterns near Garden City, seen here from Landsat 7 in September 2000. The red circles indicate irrigated crops of healthy vegetation, and the light-colored circles denote harvested crops. The 19th-century Santa Fe Trail through central North America that connected Franklin, Missouri, with Santa Fe, New Mexico, passed through Garden City.",2018_earth_as_art-nasa/OEBPS/image/garden_kansas.jpg
Grand Bahama Bank,Atlantic Ocean,"Near Florida and Cuba, the underwater terrain is hilly and the crests of many of these hills compose the islands of the Bahamas. A striking feature of this 2009 Aqua image is the Great Bahama Bank, a massive underwater hill underlying Andros Island in the west, Eleuthera Island in the east, and multiple islands in between. To the north, another bank underlies a set of islands, including Grand Bahama. The varied colors of these banks suggest that their surfaces are somewhat uneven. The banks’ distinct contours, sharply outlined in dark blue, indicate that the ocean floor drops dramatically around them. Over the banks, the water depth is often less than 10 meters, but the surrounding basin plunges to depths as low as 4,000 meters.",2018_earth_as_art-nasa/OEBPS/image/bahamas_amo_2009043_lrg.jpg
Gravity Waves,Above the Indian Ocean,"In this Terra image from 2003, a fingerprint-like feature occurs over a deck of marine stratocumulus clouds. The feature is the result of gravity waves. Similar to the ripples that occur when a pebble is thrown into a still pond, gravity waves sometimes appear when the relatively stable and stratified air masses associated with stratocumulus cloud layers are disturbed by a vertical trigger, such as the underlying terrain, a thunderstorm updraft, or some other vertical wind shear. The stratocumulus cellular clouds that underlie the wave feature are associated with sinking air that is strongly cooled at the level of the cloud tops—such clouds are common over midlatitude oceans when the air is unperturbed by cyclonic or frontal activity.",2018_earth_as_art-nasa/OEBPS/image/PIA04349_lrg.jpg
Great Salt Desert,Iran,"A mix of salt marshes, mudflats, wadis, steppes, and desert plateaus color the landscape of Iran’s Great Salt Desert, Dasht-e Kavir. The region covers an area of more than 77,000 square kilometers. Dramatic daily temperature swings and violent storms are the norm, and extreme heat leaves the marshes and mud grounds with large crusts of salt. Some vegetation has adapted to the hot, arid climate and to the saline soil. Some wildlife live in parts of the steppe and desert areas of the central plateau, while others are common in the mountainous areas. Human settlement is largely restricted to some oases. Landsat 7 acquired this image in 2003.",2018_earth_as_art-nasa/OEBPS/image/spilled_paint.jpg
Himalayas,Central Asia,"The soaring, snow-capped peaks and ridges of the eastern Himalaya Mountains create an irregular patchwork between major rivers in Tibet and southwestern China. Covered by snow and glaciers, the mountains here rise to altitudes of more than 5,000 meters. Vegetation at lower elevations is colored red in this Terra image from 2001. The Himalayas are made up of three parallel mountain ranges that together extend more than 2,900 kilometers. Uplift of the Himalayas continues today, at a rate of several millimeters per year, in response to the continuing collision of the Indian and Eurasian Plates that began about 70 million years ago.",2018_earth_as_art-nasa/OEBPS/image/himalay.jpg
Ice Waves,Greenland,"The undulating swirls shown here along the eastern coast of Greenland are slurries of sea ice, newly calved icebergs, and older weathered bergs. During the summer melting season, the southward-flowing East Greenland Current twirls these mixtures into stunning shapes. The East Greenland Current is the major current for transporting sea ice from Greenland into the North Atlantic. The rush of fresh water on an annual basis contributes to the low salinity and cold temperature of the current. In the center of this 2001 Landsat 7 image, the exposed rock of mountain peaks, tinted red, appears as an intricate network of glacier-cut fjords.",2018_earth_as_art-nasa/OEBPS/image/ice_waves.jpg
Isla Espíritu Santo and Isla Partida,Mexico,"Isla Espíritu Santo and Isla Partida are islands in the Gulf of California, located off the coast of the Mexican state of Baja California Sur. Isla Partida is the northern island of the group, which is about 32 kilometers long and 10 kilometers across at the widest point. Depending on the tides, the islands are connected by a narrow isthmus or separated by a shallow channel. Protected as a United Nations Educational, Scientific and Cultural Organization (UNESCO) Biosphere Reserve, the islands are made up of alternating layers of black lava and pink volcanic ash. On the eastern side, steep cliffs drop sheerly into the water. The western side of the islands is digitate, or fingerlike, with a series of rocky points separated by deep, shallow bays. Thin, xeric vegetation gives the island its greenish color in this 2002 Terra image, while bare ground appears pinkish orange. Small mangrove swamps tucked into the west coast bays appear bright green. The creamy-white beaches are composed of fine-grained, coralline sand.",2018_earth_as_art-nasa/OEBPS/image/espirit-cir.jpg
Jebel Uweinat,Egypt,"Rivers of sand sweep around the mountainous outcrops of Jebel Uweinat in this Terra image from 2002. Jebel Uweinat towers 1,934 meters above the barren plains of the Libyan Desert, the eastern third of the Saharan Desert. Located at the intersection of the Libyan, Egyptian, and Sudanese borders, the Jebel Uweinat highlands foster more rainfall and cooler temperatures than the surrounding desert, supporting woodlands and shrublands of palms, acacias, Saharan myrtle, oleander, and tamarix as well as several endemic and rare plant species.  The mountains are remnants of an ancient granitic dome. The western part of the massif consists of intrusive granite arranged in a ring shape about 25 kilometers in diameter, ending in three wadis (dry, seasonal riverbeds) towards the west. Its eastern side consists of sandstone and includes a permanent oasis. The area is notable for its petroglyphs. The sandstone provided a canvas for Bushmen-style engravings of lions, giraffes, ostriches, gazelles, cows, and human figures.",2018_earth_as_art-nasa/OEBPS/image/sahara_desert.jpg
Kalahari Desert,Southern Africa,"Derived from a Tswana word meaning “waterless place,” the Kalahari Desert is a large stretch of semiarid, sandy savannah that covers part of Botswana, Namibia, and South Africa. The Kalahari has vast areas covered by red sand without any permanent surface water. The Kalahari is regarded as a semidesert because some portions support more vegetation from erratic rainfall, while other areas are truly arid. In this Landsat 7 image from 2000, the Nossob River cuts through colorful streaks of sand deposits. The red dot near the river in the center of this image represents a farm made possible by a center-pivot irrigation system.",2018_earth_as_art-nasa/OEBPS/image/optimist.jpg
Kamchatka Peninsula,Russia,"The eastern side of Russia’s Kamchatka Peninsula juts into the Bering Sea west of Alaska. The terrain, which has been shaped by glaciers, appears covered in white snow in this 2002 winter image from Terra. Glacial cirques and moraines stand out clearly underneath the snow cover. The dark ocean is ice-free near the coast. Farther out to sea, drift ice, pack ice, and pancake ice are visible in blue and blue-gray colors.",2018_earth_as_art-nasa/OEBPS/image/kamchatka.jpg
Kilimanjaro,Kenya and Tanzania,"Landsat 7 acquired this image of portions of Kenya and Tanzania in 2000. Featured on the far right is Mount Kilimanjaro, flanked by the plains of Amboseli National Park to the north and the rugged Arusha National Park to the south and west. Often called “The Shining Mountain,” Kilimanjaro is a dormant stratovolcano. It has three volcanic cones—Kibo, Mawenzi, and Shira—and is the highest mountain in Africa. Although the mountain is located only about 300 kilometers from the equator, it has been capped by glaciers and snow for 11,000 years. This white cap shrinks and grows almost daily, and over the last century or more its overall trend has been a steady decline. The loss of Kilimanjaro’s ice cover can have both climatological and hydrological implications for local populations that depend on access to meltwater from the snow and ice as a source of freshwater during dry seasons and monsoon failures.",2018_earth_as_art-nasa/OEBPS/image/kilimanjaro.jpg
Kuril Islands,Sea of Okhotsk,"The white swirls in this image are Kármán vortices, or fluid perturbations, that formed over the southern Kuril Islands of Broutona, Chirpoy, and Brat Chirpoyev in the Sea of Okhotsk. In this Landsat 7 image from 2000, the spiral chains and vortices are formed by the airflow being perturbed by the islands. Located in the northwest Pacific Ocean between the southern tip of Russia’s Kamchatka Peninsula and the Japanese island of Hokkaido, the Kuril Islands are a part of the geological formation known as the Greater Kuril Ridge, which developed over the last 90 million years.",2018_earth_as_art-nasa/OEBPS/image/brutona.jpg
La Rioja,Argentina,"In this 1985 Landsat 5 image, a myriad of colors denote the composition and textures of the Sierra de Velasco Mountains of northern Argentina. Pink tones and warm hues indicate the drier, more barren areas of the mountains. Ribbons of blues and greens hint at the moister areas of vegetation and heavy growth. At the base of the mountains in the lower left, a pink area marks the city of La Rioja, which is the capital city of one of the least populated and most arid provinces of Argentina. In stark contrast, the upper right of the image shows the lusher surroundings of the city of San Fernando del Valle de Catamarca and extensive vineyards.",2018_earth_as_art-nasa/OEBPS/image/sierra_de_vel.jpg
Lake Disappointment,Australia,"Surrounded by sand dunes, Lake Disappointment is an ephemeral salt lake in one of the most remote areas of Western Australia. Located just south of Rudall River National Park, Lake Disappointment is home to many water birds. According to Aboriginal people, mythological beings are said to live in a subterranean world beneath the lake, and the lake and its surroundings are still considered taboo. In this 2000 Terra image, the gold and orange-brown areas are sand and outcrops of sedimentary rock. The dunes appear as long, linear streaks. The different colors with sharp boundaries may be traces of brush fires, with yellow being the most recent. The lake is white where bright salty deposits are visible, and blue areas are shallow water in the western part and the margins.",2018_earth_as_art-nasa/OEBPS/image/lake_disapp.jpg
Lake Eyre,Australia,"Deep in the desert country of northern South Australia, Lake Eyre is an ephemeral feature of this flat landscape. Lake Eyre is home to some rare ecosystems and is the largest salt pan in the world. It spans 9,300 square kilometers and sits 15 meters below sea level. The lake’s basin sprawls across 1.2 million square kilometers, stretching from the Northern Territory to South Australia. Rain, when it falls, drains through the basin into Lake Eyre, which has no outlet. The lake has rarely filled completely, with spectacular fillings occurring in 1950, 1974, and 1984. When brimming, Lake Eyre is Australia’s largest lake. Landsat 5 collected this image in 2006.",2018_earth_as_art-nasa/OEBPS/image/lake_eyre.jpg
Lena River Delta,Russia,"The Lena River Delta in Siberia extends 100 kilometers into the Laptev Sea and Arctic Ocean, and it includes an extensive protected wilderness area and wildlife refuge. In this Landsat 7 image from 2000, vegetation appears as shades of green, sandy areas as shades of red, and water as purples and blues. The Lena River Delta is about 400 kilometers wide, and it divides into a multitude of flat islands. The delta is frozen tundra for about 7 months of the year, and spring transforms the region into a lush wetland.",2018_earth_as_art-nasa/OEBPS/image/lena_delta.jpg
MacDonnell Ranges,Australia,"The MacDonnell Ranges are a band of rugged mountains spanning Australia’s Northern Territory. Formed 300 to 350 million years ago, the ranges have endured folding, faulting, and erosion resulting in gaps and ravines. Some of the valleys in the ranges contain fossil evidence of an inland sea that once covered central Australia. This Landsat 7 image from 2000 shows only a portion of the ranges with vegetation in green against the blues, purples, and grays of the arid surrounding area.",2018_earth_as_art-nasa/OEBPS/image/macdonnel.jpg
Mayn River,Russia,"The Mayn River is featured in this 2000 Landsat 7 image with what may be a portion of the Anadyr River. The Mayn is a tributary of the Anadyr, flowing roughly northwards from its source in the Koryak Mountain Range through the far northeastern corner of Siberia and the forest-tundra subzones of the Chukotka Peninsula. While these rivers are frozen for about 8 to 9 months in a year, they are home to chum and sockeye salmon during the summer months.",2018_earth_as_art-nasa/OEBPS/image/mayn_river.jpg
Meandering Mississippi,United States,"Graceful swirls and whorls of the Mississippi River encircle fields and pastures in this Landsat 7 image from 2003. Oxbow lakes and cutoffs accompany the meandering river south of Memphis, Tennessee, on the border between Arkansas and Mississippi. The mighty Mississippi is the largest river system in North America and forms the second largest watershed in the world.",2018_earth_as_art-nasa/OEBPS/image/meandering_mi.jpg
Mississippi River Delta,United States,"After receiving the Arkansas and Red Rivers, the Mississippi River travels to its terminus and joins the Gulf of Mexico. The river’s turbid waters spill out into the Gulf of Mexico, and its suspended sediment is deposited to form the Mississippi River Delta. As seen in this 2001 Terra image, marshes and mudflats (shades of green) prevail between shipping channels cut into the bird’s-foot delta. The marshes protect the mainland from storm surges and provide a home for fish and wildlife.",2018_earth_as_art-nasa/OEBPS/image/miss_delta.jpg
Mount Elgon,Kenya and Uganda,"Clouds dot the high rim of Mount Elgon’s massive caldera in this Landsat 5 image from 1984. As the oldest and largest solitary volcano in Africa, Mount Elgon straddles the border between Uganda and Kenya and is protected on both sides by national parks. Named Ol Doinyo Ilgoon by the Maasai, this long-extinct volcano has an intact caldera about 6,500 meters across and consists of five major peaks over a distance of 4,100 meters. In the image, the lush green that surrounds the volcano shows the fertility of the rich volcanic soil at the lower elevations. The upper left corner shows one of the arms of the large shallow lake complex of Lake Kyoga.",2018_earth_as_art-nasa/OEBPS/image/mount_elgon.jpg
Musandam Peninsula,Oman,"Rocky and rugged, the Musandam Peninsula juts into the Strait of Hormuz, the narrow entry into the Persian Gulf. Musandam is an exclave of Oman, separated from the rest of the country by the United Arab Emirates. This Terra image acquired in 2004 shows the tip of the peninsula.  The peninsula’s distinctive fjord-like physiography is due to submergence of the land as the Arabian Plate slowly pushes under the Eurasian Plate. The peninsula forms the southern part of the Strait of Hormuz. The Persian Gulf is to the west, Iran is across the strait, and the Gulf of Oman is to the east-southeast.",2018_earth_as_art-nasa/OEBPS/image/musandam_AST_2004067_lrg.jpg
Namib Desert,Namibia,"The Namib-Naukluft National Park is an ecological preserve and includes Namibia’s vast Namib Desert. Here, southwest winds have created the tallest sand dunes in the world, with some dunes reaching 300 meters in height. The park hosts a collection of animals that manage to survive in this hyper-arid region, including oryx, hyenas, jackals, and springbok. In the center of this 2000 Landsat 7 image, giant dunes line up along the edge of Sossus Vlei, a clay pan at the end point of the Tsauchab River. While the river now flows 30 kilometers into the Namib Sand Sea before ending at Sossus Vlei, it may have once extended much farther west through the desert, with the dunes gradually invading as river flooding declined.",2018_earth_as_art-nasa/OEBPS/image/namib_desert.jpg
Nazca Lines,Peru,"The Nazca Lines are a series of ancient geoglyphs located in the Ica Region in southern Peru. Estimated to be created by the Nazca culture between 400 and 650 C.E., the Nazca Lines were made by removing reddish iron-oxide pebbles that cover the surface of the desert. When the gravel is removed, the lines contrast with the light color underneath. In this 2000 Terra image, the straight Nazca Lines differ sharply from the natural, wavy lines formed from water flow in the area. Overall, there are hundreds of individual figures, which range in complexity from simple lines to stylized hummingbirds, spiders, monkeys, fish, sharks, orcas, llamas, and lizards. The Nazca Lines were designated a UNESCO World Heritage Site in 1994.",2018_earth_as_art-nasa/OEBPS/image/PIA11097.jpg
Niger River,Mali,"The Niger River and smaller rivers and streams flow northward out of Lake Debo in landlocked Mali in Western Africa. This region is part of the Inner Niger Delta, an intricate combination of lakes, river channels, and swamps with occasional areas of higher elevation. Known as the Macina, this wet oasis in the African Sahel is one of the largest wetlands in the world and provides habitat both for migrating birds and for West African manatees. The fertile floodplains also provide much-needed resources for the local people, who use the area for fishing, grazing livestock, and cultivating rice. This Terra image from 2003 shows the region during the dry season. On the right, water in rivers, streams, and lakes appears blue. On the left, the water turns greener, perhaps because of sediment. The reddish ridges running from east to west in the bottom half of the image are dunes. The pale-gray or white areas between the dunes are flat areas of silt, clay, or sandy soil. Blue shows where water has filled in between some of the dunes.",2018_earth_as_art-nasa/OEBPS/image/niger_river.jpg
Okavango Delta,Botswana,"Southern Africa’s Okavango River spreads across the landscape of northern Botswana to become the lush Okavango Delta seen in this Landsat 5 image from 2009. The Okavango Delta is one of the world’s largest inland water systems, draining an area that ranges from 9,000 square kilometers (May–October) to 16,000 square kilometers (November–April). Millions of years ago, the Okavango River flowed into a large inland lake called Lake Makgadikgadi. Today, the delta forms where the river empties into a basin in the Kalahari Desert, creating a maze of lagoons, channels, and islands. This unique water system supports a vast array of wildlife, and vegetation flourishes even in the dry season.",2018_earth_as_art-nasa/OEBPS/image/okavango_delt.jpg
